CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1976-12-4,21,16,12,17,11,7,92,78,60,30.44,30.33,30.17,9,6,4,13,9,,0.43,4,Fog-Snow,262
1976-12-5,30,20,10,24,19,7,92,83,78,30.56,30.45,30.25,10,6,3,17,7,,0.00,8,Fog,148
1976-12-6,30,24,18,28,23,11,100,84,74,30.23,30.06,29.97,8,4,0,18,10,25,0.24,8,Fog-Snow,295
1976-12-7,0,12,5,14,5,-1,80,74,67,30.18,30.11,30.04,10,8,4,18,13,23,0.00,6,Snow,326
1976-12-8,14,10,6,6,2,-1,81,71,59,30.40,30.29,30.13,20,11,2,14,11,,0.00,6,Snow,280
1976-12-9,41,24,10,27,19,5,85,75,57,30.40,30.22,30.01,10,8,6,24,14,40,0.00,4,Snow,183
1976-12-10,41,26,10,33,20,-2,79,66,56,30.49,30.18,29.99,15,8,3,24,18,37,0.00,7,,256
1976-12-11,23,12,1,15,5,-4,91,70,57,30.51,30.33,30.07,15,14,10,14,8,,0.00,3,,239
1976-12-12,30,22,10,21,15,-2,92,73,52,30.41,30.10,29.97,15,10,3,21,11,23,0.00,4,Fog,270
1976-12-13,21,12,3,13,-2,-11,68,52,34,30.58,30.46,30.29,20,15,15,18,12,,0.00,2,,241
1976-12-14,42,32,21,29,21,13,75,64,45,30.25,30.07,29.97,20,17,8,21,17,30,0.00,3,,210
1976-12-15,43,34,26,30,27,23,96,79,56,30.06,29.97,29.81,10,6,2,12,7,,0.00,0,Fog,215
1976-12-16,35,29,25,29,25,21,88,78,66,29.91,29.84,29.74,10,8,5,15,11,,0.00,4,Fog,272
1976-12-17,42,35,28,27,25,23,78,66,49,30.12,29.91,29.71,15,10,8,17,11,,0.00,3,,315
1976-12-18,50,38,27,35,29,22,85,70,48,30.20,30.09,29.96,15,10,6,18,9,,0.00,1,,172
1976-12-19,54,46,37,46,38,31,100,81,59,29.95,29.79,29.67,10,8,2,17,10,22,0.08,5,Fog-Rain,206
1976-12-20,34,20,6,33,15,-5,96,78,60,30.14,29.91,29.70,10,6,1,25,18,33,0.08,6,Fog-Snow,319
1976-12-21,18,10,3,5,-1,-7,73,64,54,30.33,30.24,30.15,20,17,15,20,14,23,0.00,1,,269
1976-12-22,30,20,10,21,12,3,72,67,61,30.14,29.87,29.74,20,12,3,20,16,26,0.00,6,Snow,215
1976-12-23,28,18,7,22,0,-9,78,60,46,30.23,29.96,29.72,20,13,1,30,17,37,0.00,4,Snow,264
1976-12-24,39,22,6,21,11,-1,73,59,42,30.22,29.95,29.74,20,15,10,26,13,37,0.00,4,,188
1976-12-25,34,30,24,23,21,18,88,72,52,29.90,29.85,29.79,20,14,8,13,8,,0.00,6,Snow,279
1976-12-26,28,19,10,25,14,2,96,77,57,29.96,29.79,29.68,20,11,1,21,10,36,0.09,5,Snow,275
1976-12-27,37,23,9,24,14,0,80,63,52,29.94,29.59,29.34,20,11,4,18,10,,0.02,7,Snow,220
1976-12-28,26,14,3,17,4,-8,77,65,51,29.69,29.63,29.49,15,12,3,20,15,,0.01,6,Snow,293
1976-12-29,6,-2,-8,-2,-11,-20,70,59,50,29.82,29.72,29.64,15,9,3,17,12,,0.01,5,Snow,258
1976-12-30,12,5,-2,9,-6,-14,88,64,47,30.09,29.88,29.76,15,7,1,17,11,,0.06,5,Snow,330
1976-12-31,5,-2,-8,-11,-14,-17,65,55,46,30.20,30.15,30.09,20,20,15,17,12,26,0.00,0,,277
1977-1-1,0,6,0,0,-7,-13,64,55,50,30.36,30.27,30.18,20,18,8,13,11,22,0.00,2,Snow,275
1977-1-2,17,11,5,13,6,-3,88,77,61,30.41,30.32,30.23,10,6,1,9,7,,0.03,8,Snow,225
1977-1-3,25,21,17,20,17,13,92,84,75,30.21,30.11,30.04,8,6,4,15,9,,0.00,8,Snow,209
1977-1-4,27,20,14,18,16,12,92,78,66,30.15,30.11,30.05,10,6,4,12,7,,0.00,6,Fog,32
1977-1-5,28,26,19,20,18,14,78,70,66,30.23,30.18,30.09,10,9,7,17,10,,0.00,7,,59
1977-1-6,24,21,14,18,15,5,92,76,63,30.17,29.92,29.73,10,6,0,17,10,28,0.01,7,Fog-Snow,237
1977-1-7,10,6,1,2,-7,-13,70,54,41,30.14,30.04,29.78,20,17,10,16,13,,0.00,1,,266
1977-1-8,18,12,3,12,3,-8,84,67,53,30.25,30.10,29.99,15,7,2,17,12,,0.04,8,Snow,291
1977-1-9,16,8,0,12,1,-13,92,74,51,30.29,30.09,29.74,20,8,0,22,14,25,0.11,7,Snow,31
1977-1-10,18,9,0,14,1,-12,88,68,54,30.20,29.81,29.59,10,5,1,25,16,33,0.15,5,Snow,313
1977-1-11,5,-3,-11,-3,-14,-21,70,58,47,30.43,30.34,30.23,20,11,2,17,11,,0.00,3,Snow,232
1977-1-12,5,-1,-7,-6,-13,-18,72,57,43,30.58,30.47,30.26,15,13,3,18,13,23,0.00,1,Snow,258
1977-1-13,0,11,-5,27,7,-12,100,78,60,30.52,30.16,29.94,15,8,1,18,12,,0.05,8,Fog-Snow,178
1977-1-14,26,18,10,26,11,0,100,75,57,30.00,29.95,29.90,10,6,1,12,9,,0.00,5,Fog-Snow,297
1977-1-15,16,4,-9,11,-5,-23,81,61,44,30.18,30.05,29.94,20,11,5,18,12,32,0.00,5,Snow,286
1977-1-16,-7,-12,-18,-21,-25,-30,61,54,48,30.42,30.32,30.18,20,17,15,22,16,29,0.00,0,,284
1977-1-17,3,-4,-11,-11,-18,-25,64,55,47,30.38,30.17,30.05,15,15,10,16,12,,0.00,0,,254
1977-1-18,21,10,-2,15,1,-15,81,65,56,30.17,30.07,29.97,15,8,1,25,13,30,0.02,5,Snow,313
1977-1-19,16,11,6,10,2,-5,84,66,46,30.12,30.00,29.83,20,10,1,15,11,,0.02,5,Snow,237
1977-1-20,21,16,10,13,8,4,84,71,55,30.12,29.98,29.78,10,8,3,13,9,,0.02,4,Snow,247
1977-1-21,19,12,6,12,5,-1,81,70,62,30.38,30.23,30.10,15,11,7,14,9,,0.00,0,,295
1977-1-22,25,12,0,13,3,-8,80,67,59,30.54,30.48,30.39,15,11,7,10,8,,0.00,3,,250
1977-1-23,25,18,12,23,15,5,92,78,65,30.37,30.15,30.00,15,8,3,18,13,,0.02,8,Fog-Snow,198
1977-1-24,0,27,24,27,24,19,96,84,69,30.01,29.86,29.78,10,8,4,15,10,,0.00,8,Fog-Snow,230
1977-1-25,28,23,18,23,18,13,85,75,58,29.87,29.83,29.78,10,8,3,16,11,,0.00,7,Snow,275
1977-1-26,28,16,1,24,5,-13,85,67,45,29.80,29.48,29.25,10,6,0,28,17,44,0.01,6,Snow,233
1977-1-27,15,6,-2,12,-8,-16,88,55,44,29.75,29.64,29.46,20,12,1,18,16,32,0.02,4,Snow,231
1977-1-28,19,3,-13,16,-14,-24,88,62,44,29.96,29.77,29.42,6,3,1,29,21,41,0.02,7,Snow,268
1977-1-29,7,2,-4,-3,-10,-15,64,58,52,29.92,29.84,29.74,8,6,3,25,21,36,0.05,6,Snow,257
1977-1-30,7,2,-2,-3,-8,-13,67,57,53,30.09,30.03,29.94,20,12,6,18,14,28,0.00,2,Snow,268
1977-1-31,18,10,3,6,-1,-7,68,61,47,30.05,30.00,29.96,20,16,15,21,15,31,0.00,0,,255
1977-2-1,23,15,7,11,4,-3,84,68,60,30.33,30.21,30.03,20,15,7,15,10,,0.00,1,,273
1977-2-2,30,18,6,26,12,-1,84,77,61,30.35,30.19,29.95,10,6,1,22,11,28,0.04,6,Fog-Snow,191
1977-2-3,30,28,27,24,20,17,82,70,63,29.95,29.84,29.78,10,8,4,20,15,26,0.00,8,,246
1977-2-4,30,24,15,27,18,3,85,74,56,29.92,29.70,29.59,15,5,0,18,9,25,0.18,7,Fog-Snow,277
1977-2-5,12,6,1,1,-8,-12,61,52,46,30.33,30.12,29.93,20,18,15,17,13,24,0.43,0,,303
1977-2-6,12,4,-5,-4,-9,-14,65,57,46,30.60,30.46,30.33,20,14,10,12,7,,0.00,0,,287
1977-2-7,14,6,-2,0,-6,-11,69,59,47,30.66,30.61,30.53,10,9,7,12,6,,0.00,2,,243
1977-2-8,23,16,10,12,6,-3,73,63,38,30.51,30.36,30.17,15,10,7,21,12,22,0.43,3,,193
1977-2-9,41,31,21,28,23,12,76,69,57,30.17,30.09,30.05,10,8,5,15,12,,0.00,4,,213
1977-2-10,46,37,28,35,30,23,82,74,63,30.15,30.11,30.06,10,6,3,14,9,,0.00,0,,205
1977-2-11,52,44,36,36,33,31,82,68,48,30.13,30.09,30.04,10,7,3,13,10,,0.00,3,,223
1977-2-12,44,40,36,38,32,25,82,74,62,30.04,29.77,29.62,10,7,1,21,11,30,0.12,8,Fog-Rain-Snow,225
1977-2-13,35,32,30,25,22,20,76,63,56,29.79,29.71,29.61,15,12,10,23,16,30,0.00,6,Snow,276
1977-2-14,30,26,21,24,17,10,81,64,43,30.14,29.94,29.78,20,11,1,17,11,,0.00,7,Snow,315
1977-2-15,21,16,10,11,2,-3,63,51,40,30.35,30.28,30.15,15,13,9,18,13,,0.00,2,Snow,325
1977-2-16,25,18,12,5,2,-1,73,52,34,30.35,30.29,30.20,20,14,4,9,6,,0.00,2,Snow,267
1977-2-17,36,26,15,23,14,6,74,61,44,30.19,30.04,29.88,20,12,10,16,11,26,0.00,6,,189
1977-2-18,44,37,30,30,25,21,96,67,43,29.96,29.88,29.83,10,8,2,15,9,,0.00,6,Fog-Snow,237
1977-2-19,32,26,21,24,19,12,84,68,60,30.13,30.03,29.94,15,9,2,16,8,,0.05,7,Snow,341
1977-2-20,28,22,16,15,12,5,72,63,49,30.14,30.08,30.05,15,10,5,12,7,,0.00,6,Snow,331
1977-2-21,34,22,10,19,13,5,81,61,48,30.13,29.96,29.64,15,11,7,20,11,29,0.00,4,Snow,176
1977-2-22,54,42,30,29,25,18,73,55,38,29.70,29.59,29.48,15,8,4,16,11,,0.00,5,,136
1977-2-23,59,49,39,49,42,30,79,66,57,29.65,29.48,29.27,10,8,2,58,15,39,0.11,8,Rain-Thunderstorm,149
1977-2-24,53,43,33,45,30,19,77,68,54,29.46,29.25,29.12,10,8,2,26,19,39,0.03,8,Rain-Snow,220
1977-2-25,39,36,33,24,21,16,64,55,46,29.93,29.70,29.45,20,15,10,29,20,40,0.43,6,,251
1977-2-26,34,31,25,23,17,14,66,59,51,30.05,29.95,29.82,15,12,8,21,11,26,0.43,6,Snow,357
1977-2-27,30,27,24,20,18,16,77,67,58,30.07,29.91,29.75,10,6,3,20,15,,0.13,8,Snow,297
1977-2-28,36,28,21,19,15,11,69,57,46,30.13,30.09,30.06,15,10,3,15,11,,0.43,4,Snow,252
1977-3-1,33,26,19,15,7,2,58,44,29,30.32,30.21,30.08,20,17,9,13,10,,0.00,0,,295
